filename, language, JavaScript, Markdown, JSON, XML, HTML, TypeScript React, CSS, TypeScript, SCSS, comment, blank, total
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Services.tsx, TypeScript React, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Settings.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\pages\Wallet.tsx, TypeScript React, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\react-app-env.d.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\serviceWorker.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 99, 0, 31, 14, 144
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\setupTests.js, JavaScript, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\About.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 11, 47
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\AgreementDocs.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\App.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Blog.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 23
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\BlogItem.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Calendar.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 46
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Contact.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 15, 170
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\ContactTextArea.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 33
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\CreateAccount.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 6, 79
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Dashboard.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\ForgotPassword.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 61
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Header.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 149, 11, 30, 190
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Landing.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 7, 55
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Lesson.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 6, 34
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Login.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 11, 132
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Resources.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\ScheduleLesson.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Services.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 14, 74
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Settings.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\styles\Wallet.module.scss, SCSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\About\About.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\AgreementDocs\AgreementDocs.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\App.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Blog\Blog.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Calendar\Calendar.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Contact\Contact.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\CreateAccount\CreateAccount.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Dashboard\Dashboard.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Header\ContextValueWrapper.tsx, TypeScript React, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Header\Header.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 41, 0, 0, 0, 2, 7, 50
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Landing\Landing.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Lesson\Lesson.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Login\Login.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Resources\Resources.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\SchedualLesson\SchedualLesson.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Services\Services.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Settings\Settings.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\tests\Wallet\Wallet.test.tsx, TypeScript React, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\types\CreateAccountTypes.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\types\FormInputTypes.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\src\types\UserTypes.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
c:\Users\noahi\Desktop\Projects\Capstone\tms-frontend\tsconfig.json, JSON, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
Total, -, 21, 25, 17658, 33, 20, 1556, 12, 139, 861, 111, 327, 20763
